	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Branchiostoma_floridae	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Buddenbrockia_plumatellae	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	1	0		0	0	0.0842105263157895	0	0	0	0	0.112280701754386	1	0	0	0.652631578947368	0.0175438596491228	0.0491228070175439	0	0.119298245614035	1	0	0.259649122807018	0	0.708771929824561	0.2	0	0.540350877192982	0	0.00350877192982456	0	1	0.164912280701754	0.410526315789474	0.00350877192982456	1	0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.23859649122807	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	1	0.00350877192982456	0	1	1	0
Capitella_teleta	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capsaspora_owczarzaki_atcc30864	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrilla_nucula	0	0	0	0	0	0	0.0245614035087719	0	0.0842105263157895	0.0842105263157895	0	0.0842105263157895	0	0		0	0	0	0	0	0.0842105263157895	0	0	0.0842105263157895	0	0	0	0	0.0842105263157895	0	0.0842105263157895	0	0.0842105263157895	0	0	0	0	0	0	0.0842105263157895	0	0.0842105263157895	0	0.0842105263157895	0	0	0	0	0	0	0	0	0.0385964912280702	0	0.0842105263157895	0	0	0.0210526315789474	0	0	0	0	0.0842105263157895	0	0.0842105263157895	0.0842105263157895	0	0.0175438596491228	0	0	0	0.0842105263157895	0	0	0.0842105263157895	0.0842105263157895	0
Ciona_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clytia_hemisphaerica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticium_candelabrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Craspedacusta_sowerbyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crassostrea_gigas	0	0	0	0	0	0	0	0	0.112280701754386	0.112280701754386	0	0.112280701754386	0	0	0	0	0	0	0		0.112280701754386	0	0	0	0.00701754385964912	0.00350877192982456	0	0	0.112280701754386	0	0.0771929824561404	0	0.112280701754386	0	0	0.112280701754386	0	0.00350877192982456	0	0.112280701754386	0	0	0.00350877192982456	0.112280701754386	0	0.00350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0491228070175439	0	0.00350877192982456	0	0	0	0	0	0	0.112280701754386	0.00350877192982456	0	0.112280701754386	0.112280701754386	0
Cyanea_capillata	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	1	0	1	0	0	0.0842105263157895	0	0	0	0	0.112280701754386		0	0	0.652631578947368	0.0175438596491228	0.0491228070175439	0	0.119298245614035	1	0	0.259649122807018	0	0.708771929824561	0.2	0	0.540350877192982	0	0.00350877192982456	0	1	0.164912280701754	0.410526315789474	0.00350877192982456	1	0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.23859649122807	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	1	0.00350877192982456	0	1	1	0
Daphnia_pulex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectopleura_larynx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edwardsiella_lineata	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.350877192982456	0.652631578947368	0	0.652631578947368	0	0	0.0842105263157895	0	0	0	0	0	0.652631578947368	0	0		0.00350877192982456	0	0	0.119298245614035	0.652631578947368	0	0.178947368421053	0	0.36140350877193	0.2	0	0.333333333333333	0	0	0	0.652631578947368	0.16140350877193	0.410526315789474	0	0.652631578947368	0	0	0	0	0	0	0	0.0421052631578947	0.164912280701754	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.154385964912281	0	0.150877192982456	0.133333333333333	0	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	0.652631578947368	0	0	0.652631578947368	0.652631578947368	0
Enteromyxum_leei	0	0	0	0	0	0	0	0	0.0105263157894737	0.0175438596491228	0	0.0175438596491228	0	0	0	0	0	0	0	0.00701754385964912	0.0175438596491228	0	0	0.00350877192982456		0	0	0	0.0175438596491228	0	0.0140350877192982	0	0.0140350877192982	0.00350877192982456	0	0.0175438596491228	0	0.00350877192982456	0	0.0175438596491228	0.00350877192982456	0.00350877192982456	0	0.0175438596491228	0	0.00350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140350877192982	0	0.00350877192982456	0	0	0	0	0	0	0.0175438596491228	0.00350877192982456	0	0.0175438596491228	0.0175438596491228	0
Ephydatia_muelleri	0	0	0	0	0	0	0	0	0.0491228070175439	0.0491228070175439	0	0.0491228070175439	0	0	0	0	0	0	0	0.00350877192982456	0.0491228070175439	0	0	0	0		0	0	0.0491228070175439	0	0	0	0.0491228070175439	0	0	0.00701754385964912	0	0	0	0.0491228070175439	0	0	0	0.0491228070175439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0491228070175439	0	0	0.0491228070175439	0.0491228070175439	0
Eunicella_cavolinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euplectella_aspergillum	0	0	0	0	0	0	0.00350877192982456	0	0.105263157894737	0.119298245614035	0	0.119298245614035	0	0	0	0	0	0	0	0	0.119298245614035	0	0	0.119298245614035	0	0	0		0.119298245614035	0	0.0140350877192982	0	0.105263157894737	0.0140350877192982	0	0.0140350877192982	0	0	0	0.119298245614035	0.0140350877192982	0.0771929824561404	0	0.119298245614035	0	0	0	0	0	0	0	0	0.0631578947368421	0	0	0	0.00350877192982456	0	0	0	0	0.00701754385964912	0	0	0	0	0	0	0	0	0	0.119298245614035	0	0	0.119298245614035	0.119298245614035	0
Euplokamis_dunlapae	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	1	0	1	0	0	0.0842105263157895	0	0	0	0	0.112280701754386	1	0	0	0.652631578947368	0.0175438596491228	0.0491228070175439	0	0.119298245614035		0	0.259649122807018	0	0.708771929824561	0.2	0	0.540350877192982	0	0.00350877192982456	0	1	0.164912280701754	0.410526315789474	0.00350877192982456	1	0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.23859649122807	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	1	0.00350877192982456	0	1	1	0
Gorgonia_ventalina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helobdella_robusta	0.00350877192982456	0	0	0	0	0	0.0245614035087719	0	0.2	0.259649122807018	0	0.259649122807018	0	0	0.0842105263157895	0	0	0	0	0.0771929824561404	0.259649122807018	0	0	0.178947368421053	0.0140350877192982	0	0	0.0140350877192982	0.259649122807018	0		0	0.2	0.0596491228070175	0	0.140350877192982	0	0.00350877192982456	0	0.259649122807018	0.0596491228070175	0.178947368421053	0	0.259649122807018	0	0.00350877192982456	0	0	0	0	0	0	0.0385964912280702	0	0.119298245614035	0	0.00350877192982456	0.0210526315789474	0	0	0	0.00701754385964912	0.175438596491228	0	0.12280701754386	0.112280701754386	0	0.0526315789473684	0	0	0	0.259649122807018	0.00350877192982456	0	0.259649122807018	0.259649122807018	0
Homo_sapiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hormathia_digitata	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	0.708771929824561	0	0.708771929824561	0	0	0.0842105263157895	0	0	0	0	0.112280701754386	0.708771929824561	0	0	0.36140350877193	0.0140350877192982	0.0491228070175439	0	0.105263157894737	0.708771929824561	0	0.2	0		0	0	0.249122807017544	0	0.00350877192982456	0	0.708771929824561	0.00350877192982456	0.214035087719298	0.00350877192982456	0.708771929824561	0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.150877192982456	0	0	0.0385964912280702	0	0	0	0	0.235087719298246	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0105263157894737	0.0105263157894737	0.708771929824561	0.00350877192982456	0	0.708771929824561	0.708771929824561	0
Hydra_magnipapillata	0	0	0	0	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0	0	0.2	0	0	0.2	0.00350877192982456	0	0	0.0140350877192982	0.2	0	0.0596491228070175	0	0		0	0.2	0	0	0	0.2	0.16140350877193	0.196491228070175	0	0.2	0	0	0	0	0	0	0	0	0	0	0.0385964912280702	0	0.00350877192982456	0	0	0	0	0.00701754385964912	0.00350877192982456	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0.2	0	0	0.2	0.2	0
Hydractinia_polyclina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilyanassa_obsoleta	0	0	0	0	0	0	0	0	0.196491228070175	0.540350877192982	0	0.540350877192982	0	0	0	0	0	0	0	0.112280701754386	0.540350877192982	0	0	0.333333333333333	0.0175438596491228	0.00701754385964912	0	0.0140350877192982	0.540350877192982	0	0.140350877192982	0	0.249122807017544	0.2	0		0	0.00350877192982456	0	0.540350877192982	0.16140350877193	0.196491228070175	0.00350877192982456	0.540350877192982	0	0.00350877192982456	0	0	0	0	0	0	0	0	0.0385964912280702	0	0.00350877192982456	0.101754385964912	0	0	0	0.00701754385964912	0.0771929824561404	0	0.00350877192982456	0	0	0	0	0.00350877192982456	0.00350877192982456	0.540350877192982	0.00350877192982456	0	0.540350877192982	0.540350877192982	0
Ixodes_scapularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kudoa_iwatai	0	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0.00350877192982456	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0	0	0.00350877192982456	0	0	0	0.00350877192982456	0	0.00350877192982456	0	0.00350877192982456	0	0	0.00350877192982456	0		0	0.00350877192982456	0	0	0	0.00350877192982456	0	0.00350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350877192982456	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0.00350877192982456	0.00350877192982456	0
Latimeria_menadoensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leucetta_chagosensis	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	1	0	1	0	0	0.0842105263157895	0	0	0	0	0.112280701754386	1	0	0	0.652631578947368	0.0175438596491228	0.0491228070175439	0	0.119298245614035	1	0	0.259649122807018	0	0.708771929824561	0.2	0	0.540350877192982	0	0.00350877192982456	0		0.164912280701754	0.410526315789474	0.00350877192982456	1	0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.23859649122807	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	1	0.00350877192982456	0	1	1	0
Ministeria_vibrans_atcc50519	0	0	0	0	0	0	0	0	0.00350877192982456	0.164912280701754	0	0.164912280701754	0	0	0	0	0	0	0	0	0.164912280701754	0	0	0.16140350877193	0.00350877192982456	0	0	0.0140350877192982	0.164912280701754	0	0.0596491228070175	0	0.00350877192982456	0.16140350877193	0	0.16140350877193	0	0	0	0.164912280701754		0.16140350877193	0	0.164912280701754	0	0	0	0	0	0	0	0	0.00350877192982456	0	0	0	0.00350877192982456	0	0	0	0	0.00701754385964912	0.00350877192982456	0	0	0	0.00350877192982456	0	0	0	0	0.164912280701754	0	0	0.164912280701754	0.164912280701754	0
Mnemiopsis_leidyi	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.214035087719298	0.410526315789474	0	0.410526315789474	0	0	0.0842105263157895	0	0	0	0	0	0.410526315789474	0	0	0.410526315789474	0.00350877192982456	0	0	0.0771929824561404	0.410526315789474	0	0.178947368421053	0	0.214035087719298	0.196491228070175	0	0.196491228070175	0	0	0	0.410526315789474	0.16140350877193		0	0.410526315789474	0	0	0	0	0	0	0	0	0.0596491228070175	0	0.185964912280702	0	0.00350877192982456	0.0210526315789474	0	0	0	0.00701754385964912	0.154385964912281	0	0.150877192982456	0.133333333333333	0	0.0842105263157895	0	0.00350877192982456	0.00350877192982456	0.410526315789474	0	0	0.410526315789474	0.410526315789474	0
Monosiga_brevicollis_mx1	0	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0.00350877192982456	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0	0	0	0	0	0	0.00350877192982456	0	0	0	0.00350877192982456	0	0	0.00350877192982456	0	0	0	0.00350877192982456	0	0		0.00350877192982456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350877192982456	0	0	0.00350877192982456	0.00350877192982456	0
Monosiga_ovata	0.00350877192982456	0	0	0	0	0	0.0280701754385965	0	0.656140350877193	1	0	1	0	0	0.0842105263157895	0	0	0	0	0.112280701754386	1	0	0	0.652631578947368	0.0175438596491228	0.0491228070175439	0	0.119298245614035	1	0	0.259649122807018	0	0.708771929824561	0.2	0	0.540350877192982	0	0.00350877192982456	0	1	0.164912280701754	0.410526315789474	0.00350877192982456		0	0.00350877192982456	0	0	0	0	0	0.0421052631578947	0.221052631578947	0	0.189473684210526	0	0.00350877192982456	0.12280701754386	0	0	0	0.00701754385964912	0.23859649122807	0.00350877192982456	0.154385964912281	0.133333333333333	0.0315789473684211	0.0842105263157895	0	0.0140350877192982	0.0140350877192982	1	0.00350877192982456	0	1	1	0
Montastraea_faveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myxobolus_cerebralis	0	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0.00350877192982456	0	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0	0	0.00350877192982456	0	0	0	0.00350877192982456	0	0.00350877192982456	0	0.00350877192982456	0	0	0.00350877192982456	0	0.00350877192982456	0	0.00350877192982456	0	0	0	0.00350877192982456	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350877192982456	0	0	0	0	0	0	0.00350877192982456	0.00350877192982456	0	0.00350877192982456	0.00350877192982456	0
Nanomia_bijuga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nasonia_vitripennis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
